"","ability","aggressiveness","anger","autonomy violation","betrayal","callousness","challenging authority","coldness","contempt","cost","deception","deliberateness","desire","disgust","disrupting social order","fairness violation","guilt","harm to life","harm to others","harm to property","harm to society","harm to the environment","harm to the self","hate","hedonism","impulsivity","injustice","irresponsibility","norm violation","oppression","perceived harm","psychological harm","risk","self-indulgence","self-interest","sense of dirtiness","sexual relevance","shame","strategy","unjust-gain"
"Bribe","20,0,20,50,68,58,23,10,0,12,8","0,0,20,50,65,59,50,86,76,84,9","19,100,60,65,59,63,42,0,74,58,3","42,34,0,6,90,36,60","58,0,10,99,62,68,100,100,100,82,90","16,100,20,50,76,27,100,85,78,72,11","75,100,75,0,70,64,100,38,0,49,30","7,100,60,0,75,53,100,74,18,83,5","58,100,60,51,91,76,62,100,93,84,7","89,100,80,100,70,95,47,100,0,72,100","87,100,65,100,74,68,100,100,100,52,100","88,100,60,50,88,100,100,100,100,96,100","56,100,10,0,89,60,52,100,100,76,82","41,100,75,0,72,42,56,100,62,55,62","43,40,60,100,70,57,26,65,63,67,28","75,100,85,66,91,75,77,100,100,87,100","30,100,60,49,88,61,100,64,100,91,100","0,50,10,0,51,61,27,0,64,6,10","25,100,20,0,73,60,100,52,70,30,10","46,100,20,100,75,49,14,25,83,0,53","35,0,70,100,81,58,23,49,85,67,100","0,0,5,95,19,15,5,15,0,15,9","12,0,0,51,59,77,100,0,0,6,14","64,100,17,20","19,100,5,63,59,68,56,81,0,71,92","54,28,21,10","79,80,56,36","49,58,21,75","64,100,90,60","25,0,40,50,22,68,40,99,1,11,61","82,5,65,39","40,100,45,0,59,75,0,100,59,51,10","53,100,80,100,92,84,100,100,78,88,50","34,100,70,99,70,51,11,0,20,65,62","82,100,75,100,92,90,100,100,100,96,100","21,100,10,0,80,64,100,100,44,75,49","4,0,0,0,63,94,0,47,0,0,4","53,100,75,99,54,84,100,100,70,90,60","22,0,75,97,71,69,100,100,100,57,81","88,100,0,100,92,75,100,58,100,33,100"
"Bully","19,28,0,62,50,10,80,5","95,50,60,73,100,100,60,100","95,66,92,74,100,100,50,100","86,82,50,99,60,51,68,77","81,40,76,7,40,0,60,0","100,71,85,31,90,100,100,100","65,32,10,57,50,0,99,0","89,72,46,53,100,100,100,90","82,70,89,55,80,80,80,100","6,22,0,6,0,0,1,60","89,54,7,39,40,0,95,0","64,78,40,18,85,100,90,100","52,58,58,18,60,0,70,44","85,68,58,47,100,10,30,64","86,33,72,53,0,0,70,4","89,19,75,77,70,100,80,100","17,79,75,68,80,3,30,0","91,50,40,71,75,31,80,84","95,73,17,73,100,100,80,90","8,10,0,39,40,0,60,60","97,69,76,57,20,3,70,50","98,7,0,8,1,0,1,0","35,24,93,26,5,6,50,5","88,62,70","91,39,56,10,40,0,95,50","79,26,61","58,45,94,74,86,85,100,66,70,8,69,5,65,0,0,23,80,12,42,47,59,35,0,100,36,81,63,92,25,18,25,95,100,10,18,0,83,30,85,40,31,0,18,74,60,17,88,55,58,25,100,80,76,35,79,100,18,0,100,75,58,50","81,84,36","87,82,64","88,39,92,48,50,40,80,100","90,18,65,81,65,63,100,79,26,29,65,6,80,50,55,26,100,57,90,52,18,39,95,100,34,82,69,86,44,24,2,90,100,5,4,47,86,53,68,50,64,57,16,72,88,35,100,26,80,5,83,61,63,54,85,100,7,0,100,92,86,100","99,50,92,41,95,100,100,100","80,30,52,55,60,100,50,70","8,50,61,15,85,0,90,0","89,33,75,6,70,61,70,80","88,69,79,25,60,0,30,100","6,1,0,4,0,0,30,50","73,72,89,47,60,60,70,50","84,37,51,14,65,80,35,32","6,29,0,21,3,0,30,0"
"Cheat in academics","51,77,10,70,95,75,0,82,59,15,58","0,11,0,20,85,85,0,0,42,5,0","55,84,5,65,95,50,5,100,60,5,66","68,51,19,97,45,35,60,75","38,42,50,60,100,100,8,83,97,95,0","20,28,30,80,85,72,0,0,39,0,29","82,38,50,40,100,90,95,82,52,90,83","23,60,10,55,85,70,0,13,14,2,0","56,66,60,60,100,80,80,47,67,10,33","19,71,40,75,90,70,11,34,49,25,3","100,97,100,80,100,100,100,100,100,98,77","93,92,100,65,100,65,67,100,86,60,93","18,73,5,75,100,85,10,100,39,50,8","91,74,20,55,90,85,6,3,56,15,76","14,32,10,65,60,70,0,51,69,2,38","87,85,95,93,70,60,72,100,66,60,61","80,62,50,55,100,90,78,50,43,40,67","0,4,0,10,90,45,0,50,0,0,0","8,35,0,90,100,70,0,0,16,0,62","0,32,5,10,85,65,3,0,0,5,0","16,75,0,70,100,61,1,50,53,5,61","0,7,0,5,65,45,0,0,0,0,0","19,15,5,30,100,76,15,100,59,95,6","2,59,5,7","54,20,50,40,100,60,29,100,10,10,24","3,36,42,18","34,11,25,62,4,81,100,31,41,15,20,8,71,0,45,0,60,58,79,74,48,36,59,100,24,39,76,57,35,21,24,83,100,11,25,8,12,43,42,20,58,100,18,73,80,55,10,60,81,25,100,57,67,44,71,58,8,0,100,88,55,100","48,17,15,32","14,34,10,30","41,38,0,65,80,55,22,0,21,3,0","22,7,4,83,17,42,100,0,38,7,12,7,60,0,0,0,20,11,68,55,22,36,54,100,33,31,55,63,22,0,2,93,100,13,24,0,19,53,49,15,88,0,12,76,49,42,44,38,28,4,80,62,24,26,78,100,7,0,95,6,88,100","21,58,50,50,100,70,0,0,25,2,4","63,3,75,75,85,80,0,83,62,15,94","39,72,15,20,100,80,0,81,2,10,30","96,95,90,90,100,75,82,100,100,100,80","5,62,25,45,90,90,0,10,7,20,39","0,0,0,3,40,50,0,0,0,0,0","80,95,100,30,100,90,10,51,50,80,79","90,73,55,75,100,79,80,100,79,98,73","11,32,5,25,100,0,0,100,73,95,85"
"Cheat in exams","20,19,30,39,31,22,18,25,20,71","0,0,10,36,2,2,10,10,73,12","30,1,13,90,78,15,79,75,57,6","62,52,26,97,40,11,61,81","50,0,33,100,91,44,86,80,74,64","20,0,27,35,90,7,44,10,51,11","20,4,40,82,89,92,80,90,82,74","20,0,19,70,78,24,53,10,61,63","30,0,21,97,90,19,61,90,61,46","25,6,28,78,13,27,21,75,56,39","50,66,38,100,100,98,82,50,94,69","100,78,68,100,100,100,99,90,96,68","20,4,63,98,73,86,83,90,61,81","30,39,25,86,49,62,34,60,47,10","0,0,29,8,64,22,73,20,4,0","51,80,38,100,91,62,91,50,60,20","40,0,39,89,80,88,22,90,71,6","5,0,0,3,0,22,24,0,5,6","50,0,46,78,0,17,13,50,29,4","25,0,18,50,32,21,8,60,4,16","10,0,24,72,68,43,18,5,35,10","0,0,0,0,4,1,4,0,12,0","20,0,29,99,62,26,56,10,2,25","16,0,22,5","10,0,55,14,28,62,82,25,59,50","90,5,12,20","59,28,26,81,3,74,100,32,76,21,20,6,65,0,45,0,60,58,74,38,53,37,59,100,25,41,76,60,41,29,27,88,100,13,21,7,17,45,68,15,42,0,11,70,75,47,0,63,81,0,100,57,62,23,61,79,8,0,100,86,56,50","100,10,42,80","47,37,69,80","50,5,10,33,3,77,18,50,4,36","13,5,6,69,4,42,100,0,30,2,12,5,59,0,0,0,10,9,32,57,18,36,53,100,41,30,25,56,26,0,1,88,99,12,15,0,18,52,32,12,51,0,12,73,77,18,35,32,27,4,75,55,52,14,77,76,6,0,79,11,62,100","12,0,10,33,78,2,29,50,6,7","30,5,56,63,73,76,89,85,91,92","20,6,30,64,79,27,95,50,18,70","50,88,72,96,100,78,97,90,84,89","20,0,0,0,0,40,55,20,3,27","0,0,0,0,0,6,0,0,0,0","50,15,45,92,79,54,35,90,88,17","50,80,70,87,84,57,13,50,81,99","20,0,9,97,91,79,71,60,21,21"
"Child marriage","50,0,0,0,84,67,0,77,0,84","1,70,100,0,89,12,100,67,28,94","100,80,100,100,100,66,100,100,90,100","52,100,100,100,85,100,88,100","100,20,100,40,67,28,100,100,27,9","50,18,100,100,12,27,100,86,69,82","100,63,30,90,74,44,100,75,50,10","100,50,100,80,95,41,100,100,74,72","100,94,100,100,74,42,100,69,100,0","50,55,12,60,9,78,49,100,82,0","100,41,80,60,96,47,100,0,0,49","100,91,100,100,100,94,100,100,100,95","100,96,100,65,80,64,100,0,63,87","100,75,100,100,100,82,100,100,87,96","100,20,6,100,90,94,100,100,55,22","100,90,100,100,100,97,100,100,100,91","95,67,100,80,100,92,100,67,100,33","0,2,100,100,94,80,40,100,71,100","100,70,100,100,94,68,100,100,72,92","100,0,100,0,5,7,0,0,67,3","0,88,100,70,91,88,100,100,22,65","0,0,10,30,6,11,100,0,0,0","0,0,100,0,18,42,30,0,4,17","100,90,0,40,40","50,81,49,100,74,71,100,82,6,67","0,84,0,43,11","88,57,54,89,82,81,100,97,18,65,100,44,77,0,34,0,0,4,100,39,55,40,94,100,89,100,84,46,68,51,56,97,100,17,90,100,100,48,78,90,72,100,87,59,85,100,84,47,0,100,100,81,95,33,80,100,64,0,100,53,63,0","100,89,0,91,86","100,100,95,86,100","100,90,100,100,100,97,100,100,91,93","92,47,70,100,96,71,100,100,36,71,100,5,74,0,59,0,100,32,100,52,73,20,84,100,83,100,90,46,59,100,48,95,100,68,78,100,100,46,64,100,64,70,57,66,58,89,27,53,100,0,71,64,92,11,92,100,88,0,100,47,50,100","100,80,100,100,90,100,100,100,100,99","0,58,39,100,31,94,100,81,54,36","25,15,100,60,7,70,65,0,0,0","100,57,100,100,46,76,100,100,77,77","100,90,100,100,100,95,100,100,100,100","100,100,100,100,96,90,100,100,64,97","100,100,100,100,72,100,100,100,84,91","100,15,9,0,89,22,80,100,71,74","100,0,5,60,81,29,0,0,91,0"
"Commit terrorism","69,100,50,100,100,62","87,100,100,100,98,100","100,100,100,100,100,100","93,49,100,100,100,72,95,100","98,100,66,100,86,87","100,100,100,100,82,100","91,100,100,100,73,92","87,100,100,100,100,100","100,100,100,100,92,65","89,100,0,100,99,87","84,100,90,90,98,52","92,100,100,100,96,100","88,79,0,84,72,54","81,100,92,100,66,89","93,100,100,100,81,100","2,100,79,100,97,100","98,100,100,100,77,42","93,100,100,100,93,100","95,100,100,100,94,100","100,100,100,100,80,57","91,100,100,100,100,100","86,100,10,100,84,89","95,100,80,100,13,58","100,100,88,100,100","43,24,0,64,85,6","0,0,93,100,76","67,100,70,69,78,100,100,100,33,71,60,15,67,0,34,16,50,71,100,47,50,93,89,100,93,100,100,97,100,38,77,95,100,17,100,100,100,97,98,100,31,100,78,77,34,100,14,26,71,100,100,77,100,43,85,100,84,39,100,100,75,100","100,100,79,100,58","100,100,96,100,100","90,53,100,100,0,89","100,100,100,83,77,100,100,100,87,93,100,0,68,100,97,82,100,100,100,100,50,99,99,100,94,100,100,96,96,97,82,90,99,13,100,100,100,86,80,100,51,100,90,79,67,100,73,73,99,100,100,92,100,92,81,100,71,100,100,13,89,100","81,100,100,100,93,100","52,100,100,100,100,92","92,40,0,29,0,6","98,100,85,50,91,79","91,100,95,100,80,0","1,50,0,1,0,53","38,100,82,100,0,12","83,100,100,93,68,100","51,50,30,79,92,77"
"Corruption","18,90,85,0,72,46,7,34,8,100,70","50,13,10,33,60,99,0,13,2,0,15","36,41,0,0,82,100,84,100,8,0,54","69,63,0,10,68,2,50","66,94,50,0,92,100,98,98,100,86,96","88,98,75,0,71,17,15,100,99,13,70","39,90,21,4,61,100,8,100,50,71,51","17,56,89,0,94,76,3,100,98,9,56","42,60,75,35,71,100,84,98,90,91,64","29,79,72,0,100,100,88,10,50,91,85","81,87,92,0,100,100,100,92,100,100,91","62,95,90,0,100,76,100,100,100,100,91","49,71,4,0,75,18,96,100,92,81,85","86,55,65,51,71,100,55,4,91,9,63","37,38,36,0,84,70,12,35,27,18,91","29,80,91,1,98,99,95,97,100,92,19","64,60,65,16,99,60,83,100,100,22,81","68,9,10,0,6,46,38,18,5,82,14","77,91,50,46,98,100,8,100,90,75,90","76,10,95,100,93,100,100,6,31,94,100","83,65,61,0,89,51,22,15,82,83,88","40,0,1,0,0,100,0,2,53,0,0","93,23,5,39,42,100,0,6,0,4,39","27,100,20,10,48","49,70,9,0,65,82,8,68,87,8,91","58,29,15,60,56","100,82,82","85,54,19,100,58","63,100,82,70,59","14,55,2,0,26,94,40,19,60,12,25","100,96,62","23,70,10,0,40,76,3,76,49,33,67","56,61,95,53,98,100,33,100,100,73,82","50,7,35,0,97,100,58,88,93,43,39","45,100,98,0,100,99,100,100,100,88,100","44,86,11,0,91,100,88,100,100,11,49","41,0,0,0,0,0,0,1,0,0,0","17,73,10,12,96,20,84,96,97,10,84","57,89,95,55,96,96,82,100,95,100,90","94,71,85,0,100,100,99,100,100,100,100"
"Counterfeit currency","84,85,60,59,88,95,100,52,83","14,15,10,26,77,53,86,20,0","1,40,61,35,100,81,40,58,76","30,36,0,84,33,62,10","16,100,60,88,100,84,82,78,50","20,2,20,27,100,68,5,72,56","89,95,80,89,100,100,85,61,100","14,40,0,36,86,3,7,63,10","25,1,75,100,100,0,95,80,60","1,85,40,100,100,100,90,44,72","100,100,70,100,100,67,45,87,100","99,99,100,67,100,48,95,94,100","83,91,40,75,40,0,92,93,100","16,21,50,55,100,72,60,81,76","35,11,70,56,100,56,90,50,100","74,100,20,48,100,100,90,29,80","0,60,30,54,72,43,55,85,61","6,0,10,25,100,52,5,2,55","22,5,30,63,100,79,90,28,59","46,2,50,57,0,62,75,6,81","48,50,40,69,100,79,85,36,100","0,9,2,9,0,30,6,8,0","3,80,10,55,0,0,11,53,80","26,78,52,51,50","38,3,50,73,100,68,90,19,70","27,12,57,45,10","75,96","92,100,100,65,90","67,85,100,52,85","4,21,0,41,79,40,25,12,12","75,94","13,2,0,35,81,65,10,57,5","71,12,80,67,100,72,92,71,100","10,60,60,100,100,0,32,44,100","100,100,90,53,100,88,85,81,100","2,9,3,70,100,80,10,49,88","0,0,0,22,0,0,0,12,21","0,10,64,86,100,52,10,93,67","88,100,60,65,100,40,100,34,100","100,80,70,70,100,34,100,94,100"
"Cross borders illegally","100,83,70,100,100,0,50,97,27,0","100,73,80,50,10,92,59,2,32,100","100,100,60,100,0,40,12,96,43,100","47,86,0,9,31,100,10","100,77,90,100,65,61,19,93,47,0","82,41,40,100,0,30,28,100,35,100","100,100,90,100,100,100,63,32,40,100","100,24,30,100,30,60,22,100,36,100","100,77,80,100,60,30,11,84,31,100","100,71,90,100,80,20,51,100,40,10","100,46,100,100,80,80,26,100,55,100","100,100,100,100,100,100,90,100,53,100","85,100,50,100,73,80,7,100,40,100","100,94,60,100,80,30,45,100,44,100","100,73,80,100,90,100,27,36,62,100","100,72,100,100,80,100,61,100,53,100","100,41,100,100,80,40,33,78,34,100","100,58,80,100,30,90,8,100,53,100","100,84,70,100,70,40,22,100,24,100","100,31,20,100,70,61,12,86,47,100","100,82,70,100,60,70,24,99,49,100","100,12,0,100,65,80,8,17,34,100","91,0,100,0,84,0,17,85,61,0","10,27,62,31,80,50","100,19,20,100,0,100,4,73,17,100","85,18,59,61,25,80","0,90","100,44,90,94,80,70","85,49,58,69,80,100","100,71,10,0,0,10,14,100,51,100","0,73","100,54,49,0,0,0,10,100,50,100","100,74,100,100,100,100,100,100,22,100","100,8,40,100,85,50,33,100,33,100","100,100,40,100,50,100,57,74,64,100","100,100,50,100,75,0,5,52,48,100","92,0,0,0,0,0,1,91,6,100","70,46,80,100,84,30,17,14,29,100","100,100,70,0,100,100,58,100,42,100","100,100,30,100,10,30,7,85,32,100"
"Cut in line","2,1,50,16,0,5,0,7,25,6,70","20,13,60,60,11,30,6,3,22,59,100","25,16,70,61,100,25,3,26,79,5,100","49,53,12,46,65,10,5,51","20,21,20,45,67,2,1,27,15,2,100","60,14,70,55,89,60,64,7,49,85,50","0,7,90,43,55,75,0,86,47,40,100","15,49,90,71,0,30,3,35,11,80,100","50,12,70,13,94,75,100,13,50,23,100","0,9,20,39,6,0,91,26,10,3,2","30,8,0,13,37,5,0,35,40,50,100","90,81,100,65,100,75,3,94,80,82,100","97,60,10,26,53,15,11,87,5,29,100","15,31,70,23,100,15,2,62,25,82,100","15,16,90,57,0,5,25,44,40,88,100","85,60,30,32,47,35,38,4,25,85,50","0,16,20,46,100,5,0,1,30,40,100","0,3,10,47,0,1,8,24,1,0,100","1,30,80,32,27,1,7,28,40,62,20","1,6,0,94,0,0,16,17,1,0,20","15,7,30,17,0,5,1,24,25,60,100","1,5,10,0,0,0,0,5,3,0,9","0,9,20,0,0,0,1,2,14,0,8","10,58,0,26,10","8,10,70,54,100,20,7,61,30,85,100","65,61,15,61,85","62,0,21,65,4,59,15,60,39,8,27,9,70,0,0,0,0,84,18,30,45,4,30,100,12,0,25,43,42,16,17,93,99,10,5,0,10,0,81,5,71,0,14,62,45,4,7,75,60,10,71,59,7,84,86,100,4,0,95,90,77,0","40,54,60,66,88","15,56,55,5,93","20,8,70,53,32,1,1,3,10,89,10","12,11,3,79,4,26,0,0,33,1,15,9,71,0,0,0,19,2,23,58,55,1,0,100,31,0,6,2,15,16,2,91,96,14,6,0,14,27,44,1,58,0,12,70,79,6,39,56,5,0,0,11,2,0,82,0,10,0,28,89,54,100","0,9,10,48,49,5,2,32,18,14,71","0,4,10,32,0,1,0,22,47,26,20","50,52,90,63,100,30,99,17,10,60,100","100,42,100,74,93,60,26,38,53,100,99","4,2,10,65,100,25,0,38,3,37,80","0,4,0,0,0,0,0,5,1,0,10","10,8,60,63,81,15,0,68,30,36,7","0,6,20,36,0,5,0,14,10,14,100","20,5,60,53,53,3,54,74,10,65,10"
"Defame","100,83,70,100,30,0,0,75,3,34","100,21,80,100,90,0,33,37,89,83","100,80,100,100,60,0,41,51,69,46","25,71,59,14,89,25,70","100,81,100,100,75,100,18,100,65,79","51,80,100,99,85,88,0,100,77,85","100,87,100,100,60,100,0,0,60,56","100,15,100,100,60,50,34,0,73,87","54,13,100,100,70,100,30,50,83,86","100,60,0,100,40,0,0,28,32,37","100,20,100,72,33,100,60,100,75,92","100,82,100,100,90,100,62,91,85,97","100,60,100,100,30,0,0,15,23,29","69,71,100,100,60,50,24,69,82,83","100,61,100,100,60,77,0,3,65,56","77,50,70,100,90,100,71,51,69,74","89,81,0,100,30,76,0,37,87,53","100,60,76,75,55,0,0,36,85,29","100,77,81,100,65,0,21,68,31,50","0,80,100,100,0,0,0,13,100,27","100,70,100,100,75,0,0,0,10,77","0,20,100,100,0,0,0,0,33,9","0,10,3,100,0,0,0,87,79,25","63,34,90","100,63,100,100,15,0,0,26,17,48","68,53,20","69,82,52","72,64,70","90,73,70","100,76,50,100,60,0,0,38,100,100","11,33,9","93,67,100,100,70,100,62,100,100,36","100,60,70,100,60,20,32,66,73,50","100,16,100,93,30,50,0,49,89,72","100,78,100,100,10,100,89,6,89,100","100,63,15,100,70,100,58,68,34,69","100,30,100,100,0,0,0,0,88,21","100,70,100,97,30,42,31,55,83,33","100,20,100,100,30,50,0,0,100,78","66,20,20,100,0,25,42,51,71,50"
"Deforestation","75,66,45,18,16,20,45,64,14","36,10,81,67,14,11,77,73,57","67,6,37,36,32,47,38,60,100","60,40,0,5,50,100,75","75,6,0,100,32,0,45,64,61","83,7,51,50,42,25,59,17,100","7,16,0,19,11,1,31,21,100","97,74,47,30,77,6,5,53,7","74,20,43,30,57,56,0,7,60","71,15,68,24,41,82,55,82,34","17,34,9,44,10,47,45,5,58","17,10,73,99,47,80,54,46,5","63,4,17,44,21,0,0,29,0","81,47,21,50,53,18,48,52,100","62,89,0,22,50,25,65,66,19","94,77,39,100,25,91,100,27,100","48,14,29,100,47,47,39,51,100","78,87,52,100,65,43,64,70,100","73,73,30,100,73,2,63,69,81","74,7,79,98,39,60,100,91,100","94,94,75,100,67,32,53,74,100","100,100,100,100,96,100,50,100,100","67,96,7,97,10,0,0,4,100","51,27,20,36,100,28","17,14,57,27,18,0,39,42,0","48,25,19,14,0,5","100,0","88,77,11,82,90,82","75,61,41,30,90,21","0,73,62,6,58,29,17,10,0","100,0","21,59,0,7,26,1,18,22,100","89,74,54,20,15,46,55,23,70","8,14,35,23,12,0,0,16,44","93,5,31,92,44,80,17,8,0","39,5,0,20,23,41,69,6,74","0,1,0,0,3,0,0,0,0","60,6,20,35,50,17,66,20,100","15,5,70,28,19,32,12,52,0","66,13,82,92,49,68,4,66,0"
"Desecrate religious sites","2,0,18,38,85,5,10,8,100,50","50,100,83,47,40,15,100,38,100,99","79,76,94,85,75,6,70,100,100,100","61,33,41,100,70,14,58,85","11,8,85,77,90,10,40,40,95,14","96,89,76,41,69,19,80,100,100,99","81,9,90,100,90,5,99,91,100,51","100,80,93,76,85,50,90,100,100,55","99,82,90,87,60,16,90,97,95,100","4,72,89,93,90,15,40,0,90,51","10,0,31,20,70,0,95,0,50,0","100,85,86,86,85,100,95,85,100,98","20,8,12,55,71,1,10,8,75,0","66,90,100,86,75,10,85,15,100,96","21,61,94,93,80,10,20,66,90,92","100,100,87,76,40,20,40,55,79,100","97,39,90,74,80,20,70,82,95,100","6,0,20,17,65,10,10,0,100,86","11,48,89,53,85,10,30,21,100,6","100,100,98,98,90,80,100,100,100,99","20,70,100,81,80,10,40,50,100,94","9,10,92,40,60,0,30,83,60,100","3,0,76,25,79,1,1,0,25,51","100,100,65,92,100,90","65,9,60,6,90,5,80,0,100,31","3,100,78,73,48,63","43,58,44,86,26,83,100,76,15,38,60,10,63,0,0,72,75,5,48,27,51,48,0,100,80,79,15,90,85,23,49,93,100,9,81,62,100,84,69,25,51,0,17,72,74,60,93,59,60,50,61,54,87,24,76,100,3,0,88,77,48,100","82,98,63,72,42,20","69,100,92,63,28,40","3,48,59,31,90,20,40,0,100,0","17,58,40,77,25,55,100,14,13,28,61,6,73,0,0,36,30,26,38,41,42,37,75,100,30,70,53,86,67,0,2,93,100,12,36,70,100,74,41,25,51,0,51,69,40,42,69,37,8,0,60,45,71,26,80,100,6,0,100,95,77,100","4,90,84,84,60,15,30,0,100,100","100,66,100,74,60,5,80,60,100,0","100,10,27,4,59,0,30,8,100,73","9,0,68,21,80,10,20,9,0,0","7,0,99,83,90,5,40,0,80,51","8,0,16,2,30,25,10,0,0,0","93,91,98,80,50,50,80,89,75,100","29,79,84,95,70,10,80,79,100,78","8,0,47,2,0,5,2,0,40,0"
"Destroy artifacts","33,10,0,23,10,14,12,50,11,49","71,75,100,100,100,92,95,100,86,26","61,75,100,100,100,69,86,90,84,52","20,24,0,94,32,1,75","64,50,50,94,20,4,6,60,43,67","58,90,100,31,85,34,99,60,73,100","36,80,100,83,85,0,77,59,91,27","65,90,100,69,90,38,32,50,69,49","83,50,100,78,65,77,85,50,89,100","3,25,0,11,0,11,97,100,20,12","67,10,0,86,100,22,53,50,38,26","86,70,100,82,100,96,99,100,22,100","51,80,0,0,100,26,14,80,61,100","29,60,100,82,100,33,74,50,69,75","35,90,50,66,25,52,61,50,66,70","5,30,100,84,100,70,99,20,12,82","44,61,100,84,75,77,91,50,66,0","29,10,0,0,30,0,32,10,77,13","49,70,100,96,90,36,84,50,57,90","71,80,100,0,88,52,98,100,89,100","40,50,100,86,30,20,82,61,68,71","34,5,0,0,10,8,85,100,79,62","0,5,0,70,40,0,8,20,64,0","85,82,90,80,49,60","47,60,100,42,90,1,70,50,14,89","25,59,75,50,39,57","30,44,0,85","85,87,95,10,60,75","85,68,62,70,85,81","24,55,50,59,100,0,99,30,91,81","34,46,0,80","40,25,50,67,100,8,79,30,59,51","69,20,90,37,100,38,34,30,41,100","34,25,50,0,100,0,12,80,37,47","9,5,50,0,20,0,88,100,88,73","33,40,0,0,30,9,7,30,26,0","0,0,0,0,0,0,0,10,75,0","75,50,100,100,80,59,80,30,62,78","35,0,65,20,20,23,25,100,100,100","14,0,0,0,0,0,2,30,59,17"
"Destroy public property","10,60,40,80,55,31,30,100,35,60","80,7,55,90,100,79,100,70,100,100","65,89,50,65,100,27,50,100,88,100","80,45,31,61,70,49,26,83","70,55,70,60,65,0,50,30,50,50","80,100,60,55,70,0,30,20,100,60","100,67,25,100,80,8,70,100,69,100","50,59,45,80,80,0,0,30,70,75","85,26,50,40,85,36,40,60,67,100","5,84,15,85,0,29,60,100,79,100","15,60,35,80,60,0,0,10,71,0","80,92,50,75,75,64,100,100,100,100","1,3,40,75,50,29,50,30,52,75","80,7,45,70,90,22,50,70,59,90","25,58,55,80,70,34,30,100,82,100","100,79,25,30,85,51,0,100,78,75","80,64,40,60,80,65,60,100,100,100","3,4,10,75,10,1,0,20,46,10","40,10,15,85,20,45,10,80,69,40","90,100,80,100,90,52,100,100,100,100","70,77,50,75,85,21,50,100,35,100","0,100,40,80,90,3,70,30,0,0","5,0,15,66,5,5,0,20,64,0","55,0,47,73,80,33","1,58,80,100,100,63,30,60,89,80","60,0,68,75,75,50","23,86,2,69,24,85,100,77,28,26,42,11,63,0,14,20,25,77,65,40,33,39,0,100,80,81,35,78,84,25,23,95,100,15,61,31,68,51,71,60,71,0,33,77,27,85,11,72,81,15,68,50,77,7,82,100,61,0,100,90,78,100","75,55,67,84,80,56","60,68,47,82,80,47","10,0,20,90,5,0,0,10,0,0","59,64,100,77,7,81,100,22,25,8,64,0,73,0,34,12,10,15,77,46,48,88,77,100,29,29,13,40,51,48,23,94,99,45,59,41,64,2,54,45,70,0,16,79,33,92,29,38,25,13,71,53,61,69,75,100,38,0,100,70,81,100","15,13,20,75,40,0,19,10,21,25","35,5,65,90,75,39,100,100,100,100","0,27,65,70,70,0,9,30,84,25","0,36,15,90,65,3,0,20,1,60","40,81,25,90,80,8,0,40,0,40","0,0,2,60,0,0,50,0,0,0","80,52,40,60,70,24,50,60,100,100","16,52,10,45,75,25,70,40,33,100","0,6,5,0,5,0,0,0,0,0"
"Domestic violence","69,69,0,65,12,13,0","78,100,86,100,100,92,87","83,100,99,100,100,93,67","58,96,100,8,100,2,90","96,100,88,100,100,100,73","84,100,92,100,83,36,54","26,0,92,10,100,1,0","70,100,93,100,100,12,72","84,78,80,85,67,11,79","51,0,94,71,100,0,28","44,0,85,88,54,10,0","79,55,97,100,100,57,86","57,50,82,100,0,0,0","86,79,96,100,52,31,87","50,0,71,60,18,94,0","92,100,84,100,82,0,100","98,100,89,100,100,42,0","86,83,92,95,100,99,80","87,100,100,100,100,76,85","11,18,77,0,51,66,11","42,50,90,5,100,86,0","4,0,94,0,9,100,0","47,10,8,25,100,28,0","100,74,84,100,93,49","38,0,45,10,51,80,0","88,98,90,25,73,55","62,87,61,100","90,99,86,100,92,59","40,73,89,87,90,56","74,70,82,10,80,100,0","66,100,65,97","85,72,85,100,100,88,100","82,100,85,100,100,42,41","81,50,77,0,13,26,0","45,9,0,90,49,81,18","70,50,86,100,100,31,49","17,51,100,5,40,99,48","80,90,89,100,100,64,43","28,50,51,71,55,0,0","26,5,0,10,0,0,0"
